ORDERDATE,YEAR_ID,MONTH_ID,QTR_ID,PRODUCTLINE,QUANTITYORDERED,MSRP,PRICEEACH,DISCOUNT_PERCENTAGE,DISCOUNT_PCT_CLIPPED,DISCOUNT_OUTLIER_FLAG,STATUS,IS_CLOSED,DEAL_SIZE,DEAL_SIZE_BUCKETS
2003-02-24,2003,2,1,Motorcycles,30,95,95.7,-0.736842105263161,-0.736842105263161,0,Shipped,1,2871.0,Medium
2003-05-07,2003,5,2,Motorcycles,34,95,81.35,14.368421052631586,14.368421052631586,0,Shipped,1,2765.8999999999996,Medium
2003-07-01,2003,7,3,Motorcycles,41,95,94.74,0.2736842105263212,0.2736842105263212,0,Shipped,1,3884.3399999999997,Large
2003-08-25,2003,8,3,Motorcycles,45,95,83.26,12.3578947368421,12.3578947368421,0,Shipped,1,3746.7000000000003,Large
2003-10-10,2003,10,4,Motorcycles,49,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,4900.0,Large
2003-10-28,2003,10,4,Motorcycles,36,95,96.66,-1.7473684210526281,-1.7473684210526281,0,Shipped,1,3479.7599999999998,Large
2003-11-11,2003,11,4,Motorcycles,29,95,86.13,9.336842105263162,9.336842105263162,0,Shipped,1,2497.77,Medium
2003-11-18,2003,11,4,Motorcycles,48,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,4800.0,Large
2003-12-01,2003,12,4,Motorcycles,22,95,98.57,-3.7578947368420983,-3.7578947368420983,0,Shipped,1,2168.54,Small
2004-01-15,2004,1,1,Motorcycles,41,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,4100.0,Large
2004-02-20,2004,2,1,Motorcycles,37,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,3700.0,Large
2004-04-05,2004,4,2,Motorcycles,23,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,2300.0,Small
2004-05-18,2004,5,2,Motorcycles,28,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,2800.0,Medium
2004-06-28,2004,6,2,Motorcycles,34,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,3400.0,Large
2004-07-23,2004,7,3,Motorcycles,45,95,92.83,2.2842105263157912,2.2842105263157912,0,Shipped,1,4177.35,Large
2004-08-27,2004,8,3,Motorcycles,36,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,3600.0,Large
2004-09-30,2004,9,3,Motorcycles,23,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,2300.0,Small
2004-10-15,2004,10,4,Motorcycles,41,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,4100.0,Large
2004-11-02,2004,11,4,Motorcycles,46,95,94.74,0.2736842105263212,0.2736842105263212,0,Shipped,1,4358.04,Large
2004-11-15,2004,11,4,Motorcycles,42,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,4200.0,Large
2004-11-24,2004,11,4,Motorcycles,41,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,4100.0,Large
2004-12-17,2004,12,4,Motorcycles,20,95,72.55,23.63157894736842,23.63157894736842,0,Shipped,1,1451.0,Small
2005-02-03,2005,2,1,Motorcycles,21,95,34.91,63.25263157894737,50.0,1,Shipped,1,733.1099999999999,Small
2005-03-03,2005,3,1,Motorcycles,42,95,76.36,19.621052631578948,19.621052631578948,0,Shipped,1,3207.12,Medium
2005-04-08,2005,4,2,Motorcycles,24,95,100.0,-5.263157894736842,-5.263157894736842,0,Shipped,1,2400.0,Medium
2005-05-13,2005,5,2,Motorcycles,66,95,100.0,-5.263157894736842,-5.263157894736842,0,Disputed,0,6600.0,Large
2003-01-29,2003,1,1,Classic Cars,26,214,100.0,53.271028037383175,50.0,1,Shipped,1,2600.0,Medium
2003-03-24,2003,3,1,Classic Cars,29,214,100.0,53.271028037383175,50.0,1,Shipped,1,2900.0,Medium
2003-05-28,2003,5,2,Classic Cars,38,214,100.0,53.271028037383175,50.0,1,Shipped,1,3800.0,Large
2003-07-24,2003,7,3,Classic Cars,37,214,100.0,53.271028037383175,50.0,1,Shipped,1,3700.0,Large
2003-09-19,2003,9,3,Classic Cars,45,214,100.0,53.271028037383175,50.0,1,Shipped,1,4500.0,Large
2003-10-20,2003,10,4,Classic Cars,21,214,100.0,53.271028037383175,50.0,1,Shipped,1,2100.0,Small
2003-11-06,2003,11,4,Classic Cars,34,214,100.0,53.271028037383175,50.0,1,Shipped,1,3400.0,Large
2003-11-13,2003,11,4,Classic Cars,23,214,100.0,53.271028037383175,50.0,1,Shipped,1,2300.0,Small
2003-11-25,2003,11,4,Classic Cars,42,214,100.0,53.271028037383175,50.0,1,Shipped,1,4200.0,Large
2003-12-05,2003,12,4,Classic Cars,47,214,100.0,53.271028037383175,50.0,1,Shipped,1,4700.0,Large
2004-01-29,2004,1,1,Classic Cars,35,214,100.0,53.271028037383175,50.0,1,Shipped,1,3500.0,Large
2004-03-10,2004,3,1,Classic Cars,29,214,100.0,53.271028037383175,50.0,1,Shipped,1,2900.0,Medium
2004-05-04,2004,5,2,Classic Cars,34,214,100.0,53.271028037383175,50.0,1,Shipped,1,3400.0,Large
2004-06-15,2004,6,2,Classic Cars,32,214,100.0,53.271028037383175,50.0,1,Shipped,1,3200.0,Medium
2004-07-19,2004,7,3,Classic Cars,21,214,100.0,53.271028037383175,50.0,1,Shipped,1,2100.0,Small
2004-08-17,2004,8,3,Classic Cars,34,214,100.0,53.271028037383175,50.0,1,Shipped,1,3400.0,Large
2004-09-08,2004,9,3,Classic Cars,37,214,100.0,53.271028037383175,50.0,1,Shipped,1,3700.0,Large
